condition rt
1 394
1 649
1 641
1 690
1 865
1 411
1 746
1 395
1 434
1 424
1 541
1 656
1 555
1 494
1 335
1 396
1 453
1 474
1 567
1 908
1 449
1 329
1 396
1 823
1 586
1 383
1 599
1 421
1 596
1 806
1 376
1 630
1 512
1 372
1 337
1 849
1 429
1 405
1 1069
1 584
1 476
1 414
1 503
1 1036
1 326
1 345
1 368
1 583
1 460
1 416
1 494
1 357
1 439
1 544
1 428
1 408
1 394
1 501
1 507
1 269
1 320
1 460
1 387
1 461
1 517
1 1032
1 473
1 561
1 628
1 486
1 570
1 563
1 355
1 384
1 718
1 588
1 543
1 541
1 510
1 474
1 569
1 470
1 437
1 698
1 344
1 655
1 420
1 398
1 660
1 328
1 625
1 1132
1 422
1 360
1 434
1 472
1 482
1 436
1 405
1 495
1 410
1 622
1 347
1 452
1 582
1 392
1 521
1 929
1 1109
1 435
1 420
1 455
1 669
1 535
1 546
1 358
1 404
1 495
1 613
1 468
1 521
1 549
1 375
1 643
1 475
1 702
1 449
1 402
1 383
1 374
1 782
1 644
1 753
1 386
1 433
1 442
1 557
1 550
1 627
1 395
1 472
1 657
1 572
1 548
1 945
1 392
1 402
1 593
1 375
1 385
1 957
1 989
1 392
1 584
1 627
1 531
1 404
1 337
1 447
1 522
1 389
1 378
1 470
1 486
1 473
1 323
1 566
1 419
1 770
1 554
1 442
1 503
1 422
1 352
1 639
1 644
1 560
1 676
1 517
1 746
1 698
1 382
1 405
1 415
1 441
1 473
1 565
1 414
1 630
1 470
1 463
1 419
1 333
1 599
1 317
1 447
1 650
1 355
1 799
1 418
1 451
1 303
1 627
1 391
1 471
1 787
1 536
1 587
1 400
1 310
1 438
1 646
1 546
1 590
1 845
1 482
1 560
1 678
1 562
1 568
1 990
1 763
1 618
1 344
1 540
1 424
1 933
1 603
1 394
1 386
1 739
1 426
1 274
1 782
1 1073
1 570
1 707
1 452
1 536
1 381
1 458
1 388
1 517
1 583
1 473
1 659
1 754
1 471
1 628
1 526
1 613
1 421
1 913
1 487
1 324
1 1105
1 495
1 270
1 353
1 662
1 876
1 533
1 325
1 1290
1 436
1 401
1 481
1 613
1 474
1 314
1 772
1 380
1 438
1 345
1 281
1 518
1 1224
1 535
1 507
1 484
1 739
1 410
1 512
1 692
1 408
1 540
1 368
1 564
1 527
1 583
1 663
1 497
1 589
1 1192
1 650
1 628
1 470
1 816
1 785
1 514
1 395
1 495
1 350
1 550
1 479
1 422
1 319
1 670
1 546
1 518
1 322
1 752
1 416
1 471
1 300
1 312
1 421
1 661
1 1966
1 317
1 582
1 383
1 532
1 662
1 634
1 416
1 711
1 469
1 666
1 439
1 423
1 867
1 598
1 573
1 518
1 1573
1 612
1 515
1 388
1 344
1 799
1 930
1 419
1 370
1 511
1 497
1 581
1 424
1 570
1 491
1 357
1 542
1 323
1 820
1 518
1 363
1 961
1 475
1 585
1 376
1 623
1 587
1 443
1 483
1 431
1 512
1 436
1 414
1 284
1 313
1 313
1 347
1 553
1 816
1 779
1 441
1 487
1 513
1 380
1 603
1 514
1 641
1 332
1 566
1 584
1 541
1 670
1 603
1 635
1 391
1 553
1 642
1 677
1 393
1 502
1 993
1 694
1 333
1 543
1 520
1 585
1 440
1 903
1 360
1 449
1 521
1 457
1 746
1 750
1 516
1 545
1 429
1 381
1 493
1 383
1 2406
1 264
1 474
1 638
1 405
1 400
1 335
1 571
1 311
1 566
1 619
1 579
1 380
1 580
1 492
1 345
1 292
1 470
1 603
1 424
1 573
1 441
1 486
1 557
1 601
1 450
1 736
1 665
1 401
1 1844
1 584
1 465
1 390
1 617
1 620
1 304
1 442
1 529
1 634
1 625
1 403
1 408
1 377
1 328
1 966
1 351
1 511
1 834
1 518
1 428
1 302
1 760
1 335
1 933
1 474
1 412
1 419
1 562
1 345
1 378
1 529
1 431
1 531
1 1491
1 535
1 570
1 941
1 370
1 440
1 489
1 570
1 442
1 788
1 545
1 566
1 393
1 478
1 722
1 552
1 634
1 521
1 428
1 606
1 669
1 579
1 357
1 740
1 746
1 417
1 315
1 310
1 311
1 418
1 424
1 1005
